Source,Target,Weight
2,40,1.0
2,60,-1.0
15,40,1.0
15,60,-1.0
15,61,-1.0
15,73,1.0
15,79,1.0
19,60,1.0
19,79,-1.0
40,2,1.0
40,15,1.0
40,64,-1.0
40,65,-1.0
40,67,1.0
40,69,1.0
40,71,1.0
40,83,-1.0
40,95,-1.0
40,100,1.0
40,109,-1.0
60,15,1.0
60,19,1.0
60,65,1.0
60,67,-1.0
60,83,1.0
60,95,1.0
61,2,-1.0
61,15,-1.0
61,19,1.0
61,64,1.0
61,65,1.0
61,67,-1.0
61,69,-1.0
61,71,-1.0
61,79,1.0
61,83,-1.0
61,95,1.0
61,100,1.0
61,109,-1.0
64,40,-1.0
64,60,1.0
64,61,1.0
64,73,-1.0
64,79,-1.0
65,40,-1.0
65,60,1.0
65,61,1.0
65,79,-1.0
67,60,-1.0
67,79,1.0
69,40,1.0
69,61,-1.0
69,73,-1.0
69,79,1.0
71,60,-1.0
71,79,1.0
73,40,-1.0
73,79,1.0
73,95,-1.0
79,40,1.0
79,60,1.0
83,40,1.0
83,61,-1.0
83,64,1.0
95,40,-1.0
95,60,1.0
95,61,1.0
95,73,1.0
95,79,-1.0
100,40,1.0
109,40,1.0
109,61,-1.0
109,73,1.0
109,79,1.0
